country,description,name,num_ratings,rating,rum_type
United States,,Sugar Island Coconut,10,3.9,Flavored
Cuba,,Mulata Silver Dry,10,5.7,Light
Netherlands Antilles,,Ultimatum Selected 8-Year,11,7.2,Aged
Barbados,,Foursquare 2005 Barbados 12-Year,11,7.7,Aged
Guadeloupe,,Damoiseau 8-Year,11,6.3,Aged
Guadeloupe,,Damoiseau Blanc 55%,11,6.1,Agricole
Barbados,,Foursquare 2008 12-Year,11,9.5,Aged
Caribbean,,Plantation 2020 Isle Fiji,11,6.8,Aged
Martinique,,Neisson Profil 105,11,7.9,Aged
United States,"Privateer Silver Reserve rum, an evaporated cane juice- and real boiled brown sugar-based rum that is double-distilled like the others, but with more plates in the hybrid still for higher purity. It’s then proofed down to 100 proof and rested for two months in stainless steel tanks before it’s bottled unfiltered at 80 proof with no added sweeteners, colors, or flavors. via  American Rum Report ",Privateer Silver Reserve,11,7.4,Light
Spain,,Arehucas 7-Year,11,6.2,Aged
United States,,Commander's Old Reserve,11,6.3,Aged
Saint Lucia,,Elements 8 Platinum,11,7.1,Light
United Kingdom,,Old J Gold,11,5.3,Gold
Guadeloupe,,Longueteau VSOP,11,8.1,Aged
United Kingdom,,Watson's Trawler,11,7.1,Gold
United States,"Old St. Pete Righteous rum, a pot-distilled, molasses-based rum that’s infused with a blend of natural spices and bottled at 86 proof. via  American Rum Report ",Old St. Pete Righteous,11,3.0,Spiced
Saint Lucia,,Chairman's Reserve Original,10,5.8,Aged
United States,"Black Coral Light rum, a reflux-distilled (it’s a custom built reflux still that the distillery says behaves more like a pot still), Florida molasses-based rum that’s aged in both new charred white oak barrels and another type of barrel the distillery mysteriously describes as “other.” After six months, the barrel-aged rums are blended and filtered with a coconut husk carbon filtration method and bottled at 80 proof. via  American Rum Report ",Black Coral Light,10,6.6,Light
Colombia,,Juan Santos 21-Year,10,7.8,Aged
Caribbean,,Twezo Barbados,10,5.8,Gold
Costa Rica,,Centenario Special Blend 30-Year,10,9.3,Aged
Costa Rica,,Centenario Reserva de la Familia 18-Year,10,7.0,Aged
Italy,,Rum Nation Barbados XO Anniversary Edition,10,6.9,Aged
Dominican Republic,,Siboney 1920,10,6.6,Aged
Caribbean,,Compagnie des Indes 2007 Jamaica 7-Year,10,7.3,Aged
Caribbean,,Compagnie des Indes 2000 Jamaica 14-Year,10,7.6,Aged
Caribbean,,Compagnie des Indes 1998 Barbados 16-Year,10,9.1,Aged
Nicaragua,,Mombacho 15-Year,10,7.1,Aged
Dominican Republic,"South Bay Small Batch rum is produced in the Dominican Republic using small batches of of rum that are aged in a variety of wood barrels formerly holding bourbon, sherry, port, wine and single malt Scotch whisky. After being combined additional aging occurs using the solera method. ",South Bay Small Batch,10,7.6,Aged
Jamaica,,J. Wray Silver,10,5.4,Light
New Zealand,,Stolen Gold,10,5.6,Gold
Mauritius,,St. Aubin Vanilla,10,6.6,Agricole
Mexico,,Mocambo 10 Pistol 1821,10,5.2,Aged
Canada,,Malibu Mango,10,4.1,Flavored
Haiti,,Barbancourt Pango,10,6.3,Flavored
Italy,,Rum Nation Guatemala XO 20th Anniversary,10,8.6,Aged
Spain,,Ron Jungla Suau,10,6.7,Dark
Dominican Republic,,Quorhum XO,10,7.4,Dark
Canada,,Sainte-Marie Spiced,10,6.0,Spiced
Czech Republic,,Palirna U Zeleneho stromu 2015 Heffron 5-Year 5-Year,10,6.5,Flavored
Grenada,,Westerhall Estate No 10,10,6.8,Aged
Martinique,,Rhum JM Armagnac Finish,10,6.4,Agricole
Caribbean,,Plantation 2016 Black Cask,10,6.9,Aged
Caribbean,,Plantation 1999 Trinidad,10,7.2,Aged
Saint Kitts And Nevis,,Brinley Gold Mango,10,7.0,Flavored
Haiti,,Clairin 2015 Casimir Batch 2,10,6.9,Gold
Slovakia,,Jogaila Black,10,4.7,Dark
Sweden,,Weiron Premium,10,6.7,Aged
Jamaica,,Appleton Estate Exclusive,10,8.4,Aged
Guadeloupe,,Pére Labat 8-Year,10,7.4,Agricole
United Kingdom,,Dead Man's Fingers Coffee,10,5.0,Spiced
Thailand,,Mekhong Gold,10,4.2,Flavored
Caribbean,,Mezan 1999 Trinidad,10,7.5,Aged
Trinidad and Tobago,,Caroni 17-Year,10,8.2,Aged
Dominican Republic,,Ophyum 17-Year,10,7.6,Aged
Suriname,,Borgoe 82,10,5.9,Gold
Spain,,Ron Miel Tobacco,10,7.4,Flavored
Guyana,,Cuba Libre El Dorado 15-Year,10,8.3,Aged
Saint Lucia,,Chairman's Reserve 1931,10,8.7,Aged
Panama,,Panama-Pacific 9-Year,10,7.2,Aged
United States,,Largo Bay Spiced,10,5.1,Spiced
Japan,,Nine Leaves Angel's Half American Oak,10,4.5,Gold
Brazil,,Velho Barreiro Gold,9,5.0,Gold
Philippines,,Tanduay Superior 12-Year,9,5.0,Aged
Philippines,,Tanduay Philippine,9,2.0,Aged
Jamaica,,Smatts Gold,9,6.0,Gold
Barbados,,St. Nicholas Abbey White,9,7.3,Light
Philippines,,Don Papa Sherry Cask,10,5.8,Aged
Jamaica,,Rum Fire Velvet,10,6.6,Overproof
Puerto Rico,,Captain Morgan Pineapple,10,2.8,Flavored
Martinique,,Saint James Heritage,10,5.4,Aged
Italy,,Rum Nation Jamaica Pot Still 8-Year,10,6.6,Aged
United States,"Wicked Dolphin Florida Spiced rum, a blend of their Silver Reserve and an aged rum that’s flavored with natural spices, vanilla, and Florida orange peels. It’s sweetened with local honey and bottled at 80 proof. via  American Rum Report ",Wicked Dolphin Florida Spiced,10,6.9,Light
Guadeloupe,"The only American craft rum using 100% single-origin fresh sugarcane juice grown & distilled in the French Caribbean with finishing and bottling in Napa, CA.  Bottled at 80 proof it retains hints of grass, citrus, and tropical aromas while crisp, clean and versatile enough for any clear-spirit cocktail. ",Batiste Rhum Silver,10,4.7,Light
Cuba,Havana Club White rum is produced by Bacardi in Puerto Rico for the US market and is based on the original recipe and yeast that was purchased by Bacardi from the Arechabala family. ,Havana Club White,10,3.4,Light
Caribbean,"Plantation Barbados 2005 rum is distilled using pot and column stills, then aged 11 years in Barbados and a further 2-3 years in France. ",Plantation 2005 Barbados 13-Year,10,7.3,Aged
Caribbean,,Plantation Barbados XO,10,7.0,Aged
Dominican Republic,,Bavaro Black,10,7.8,Aged
Jamaica,,RumBar Gold,10,4.7,Gold
United States,,Rumson's Grand Reserve,10,8.0,Aged
Italy,,Velier 2005 Royal Navy Tiger Shark 14-Year,10,8.4,Overproof
Philippines,,Don Papa Masskara,10,6.3,Spiced
Martinique,,Saint James XO,10,6.2,Aged
United Kingdom,,East London Liquor Company Demerara,10,6.8,Aged
United States,,Black Roberts Spiced,10,3.4,Spiced
United States,"St. George California Agricole rum, a n aged version of the base used in their California Agricole Rum that spent four years in French oak barrels. Bottled at 80 proof as a limited release. via  American Rum Report ",St. George California,9,5.0,Agricole
Martinique,,Trois Rivieres Ambré,9,5.5,Agricole
Martinique,,Clement 125th Anniversary,9,6.4,Aged
Caribbean,,Plantation Jamaica 8,9,5.8,Aged
United States,"Old New Orleans 121 Crystal rum, an overproof version of their Crystal Rum that’s only proofed down to 121 proof before bottling. via  American Rum Report ",Old New Orleans Crystal,9,5.7,Light
Martinique,,Neisson XO 45,9,8.3,Aged
Jamaica,,Myers's 10 Legend,9,8.1,Aged
United Kingdom,,Bristol Classic 1974 Trinidad,9,9.0,Aged
Trinidad and Tobago,,Angostura Fernandes Black Label,9,3.5,Gold
United States,,Trader Vics Dark,9,4.0,Dark
Caribbean,,Compagnie des Indes 1998 Guadeloupe 16-Year,9,7.7,Aged
Martinique,,Rhum JM Cuvee du Fondateur,9,8.6,Aged
Mauritius,,Chamarel Vanilla,9,5.0,Flavored
United States,,Lost Spirits Navy 68,9,7.6,Gold
Cuba,,Mulata Blanco Reserva 3-Year,9,4.9,Gold
United States,,Lady Bligh Spiced,9,5.1,Spiced
Puerto Rico,,Castillo Spiced,9,5.1,Spiced
Bulgaria,,Savoy Dark,9,4.5,Dark
Australia,,Bundaberg Small Batch Vintage Barrel,9,7.3,Aged
Costa Rica,,Centenario Conmemorativo,9,5.6,Aged
United States,"Montanya Platino rum, a direct fire pot-distilled, unrefined raw crystalized cane- and molasses-based rum that spends one year in American white oak barrels that previously held both Colorado whiskey and Montanya’s Oro Rum (molasses makes up 12% of the fermentation). A tiny amount of caramelized Colorado wildflower honey is added and the rum’s color is removed with a coconut husk filter before it’s bottled at 80 proof. via  American Rum Report ",Montanya Platino Light,9,6.1,Light
"Virgin Islands, U.S.",,Cruzan 5 Estate Diamond,9,6.8,Aged
Jamaica,,Coruba Gold,9,5.0,Gold
United Kingdom,,Rock Star Pineapple Grenade,9,9.0,Spiced
Finland,,Ö Dark,9,4.4,Dark
Martinique,,Neisson Vieux,9,6.6,Agricole
Fiji,,Rum Company of Fiji Ratu Spiced 5-Year,9,6.5,Spiced
Antigua and Barbuda,,English Harbour Port Cask Finish,9,7.9,Aged
Caribbean,,Plantation Panama Single Cask Cabreuva Finish 8-Year,9,7.4,Aged
Dominican Republic,,Vizcaya Black Reserva,9,7.4,Aged
Dominican Republic,,Bacoo 8-Year,9,6.0,Aged
Guadeloupe,,Rhum Rhum Blanc PMG 56%,9,8.1,Light
Cuba,,Santero Anejo 3-Year,9,3.6,Gold
Cuba,,Mulata Elixir De Ron,9,5.2,Flavored
Cuba,,Cubay Carta Dorada,9,5.4,Gold
Jamaica,,Monymusk Gold,9,6.1,Aged
Guadeloupe,,Bielle 2007 Brut De Fut,9,9.0,Aged
Guadeloupe,,Damoiseau 5-Year,9,7.2,Gold
Brazil,,Avua Prata Cachaca,9,6.8,Cachaca
Spain,,Aldea 1991 Tradicion,9,7.8,Aged
United Kingdom,,Enmore 1995 Guyana,9,8.9,Aged
Italy,,Rum Nation Jamaica White Pot Still,9,7.1,Aged
Jamaica,,Hansen President,9,2.4,Aged
Jamaica,,Coruba 18-Year,9,5.1,Aged
Martinique,,J. Bally Vieux,9,5.6,Agricole
Colombia,,Ron Viejo de Caldas Gran Reserve Especial,9,7.4,Aged
Barbados,,Mount Gay Premium White,9,5.9,Light
Barbados,,Foursquare 2004,9,8.3,Aged
Barbados,,Cane Mill 8-Year,9,6.2,Aged
Reunion,,Charrette La Vanille,9,7.0,Flavored
Australia,,Bundaberg Mutiny,9,5.6,Spiced
Cuba,,Varadero Añejo Reserva,9,6.0,Gold
Denmark,,A. H. Riise Platinum Reserve,9,8.3,Aged
Andorra,,Rum & Cane French Oveaseas XO,9,6.9,Aged
Panama,,Kuna Aged,9,7.2,Aged
Panama,,Espero Elixír,9,6.3,Flavored
Australia,,Bundaberg Five,9,3.0,Light
United States,,Rougaroux Sugarshine,9,7.5,Light
United States,,Rougaroux Full Moon Dark,9,7.3,Dark
Puerto Rico,,Castillo Gold,9,4.2,Gold
Philippines,,Tanduay 1854,9,5.7,Aged
Cuba,,Mulata Anejo 5-Year,9,5.4,Aged
United States,,Whaler's Killer Coconut,9,6.3,Flavored
Haiti,,Clairin Le Rocher,9,8.3,Agricole
Guadeloupe,,Reimonenq Reserve Speciale 6-Year,9,4.8,Aged
Spain,,Ocean's Deep & Singular 7-Year,9,6.4,Gold
United States,,Ron Diaz Spiced,9,3.1,Spiced
United States,"Siesta Key Silver rum, a column-distilled, Florida molasses based rum that’s bottled unaged at 80 proof. via  American Rum Report ",Siesta Key Gold,9,7.6,Gold
Barbados,,Mount Gilboa Triple Distilled,9,6.5,Light
Puerto Rico,"Captain Morgan Spiced Rum is made by combining yeasts, molasses, water and mash, which are then distilled in a continuous still. The rum is aged for up to 1 year followed by the addition of spices and flavors indigenous to the Caribbean Islands.  Captain Morgan Spiced is owned by Diageo and produced in Puerto Rico by the famous Destilieria Serralles, Inc. The company Captain Morgan is named after the 17th-century Welsh privateer of the Caribbean, Sir Henry Morgan was an admiral in the Royal British Navy who earned a knighthood in 1674. ",Captain Morgan Spiced,429,5.0,Spiced
Canada,"Malibu Coconut Rum is distilled from fermented molasses and blended with coconut and sugar. The brand is owned by one of the world's largest spirits producers, Pernod Ricard. Currently produced in Canada, Malibu Coconut rum was originally made in Curaçao from fruit spirits flavored with coconut and rum. The original recipe was developed as a shortcut for bartenders making Piña Coladas, however today the stands on its own. ",Malibu Coconut,446,4.3,Flavored
Dominican Republic,"Barcelo Imperial rum is produced in the Dominican Republic using column stills before aged in white oak casks for up to 10 years. Ron Barcelo was founded in 1929 by Spanish entrepreneur Julian Barcelo in Santo Domingo, Dominican Republic. The brand was sold mainly in the Caribbean and North America until a much broader international expansion began in 1992. ",Barcelo Imperial,448,6.9,Aged
Cuba,"Havana Club 3-Year rum is produced from molasses and aged for 3 years in white oak barrels before filtering and bottling. Havana Club rum is produced in Cuba, where the company was founded in 1878 by José Arechabala. The company was nationalized in 1959 after the Cuban Revolution and now jointly owned by Pernod Ricard and the Cuban government. ",Havana Club 3-Year,454,5.5,Light
Barbados,"Dos Maderas PX 5 + 5 rum is made from a combination of rums from Barbados and Guyana. It is unique becuase of its triple ageding process where for 5 initial years the rum is aged in the Carribean in oak casks. Next PX 5 + 5 is aged in Spain for 5 years in sherry casks, and lastly for 2 more years in even older sherry casks. The Dos Maderas family of rums are produced by Bodegas Williams & Humbert, which is a well known Spanish winery founded by Sir Alexander Williams in the late 1800s. The region of Spain where the winery is located has a climate perfectly suited for wine and is known as Europe's wine cellar. ",Dos Maderas PX 5+5,513,7.6,Aged
Venezuela,"Santa Teresa 1796 rum is produced in Venezuela and aged using the solera system that blends rums aged between 4 and 35 years. Before bottling, the rum is aged for a further year in large French oak casks to marry the blends. This rum was first created in 1996 to celebrate the 200th anniversary of the establishment of the distillery, the Santa Teresa Hacienda. ",Santa Teresa 1796,524,7.6,Aged
Puerto Rico,"Launched in 2011, Bacardi Oakheart is the newest addition to the extensive Bacardi collection.  This spiced rum is aged for 1 to 2 years, filtered using a proprietary process, and then flavored with various spices including maple, nutmeg, cinnamon and honey. Bacardi Oakheart took over two years to name and more than 2700 names were considered.  The winner, Oakheart, is a reference to the charred American white oak barrels that house the rum while it ages. ",Bacardi Oakheart,544,5.5,Spiced
Dominican Republic,Matusalem Gran Reserva 15-year rum is produced using a combination of rums aged on average 15 years and distilled from molasses using the solera process. The Matusalem company was established in 1872 originally in Santiago de Cuba. The company fled the country following the Cuban Revolution in 1959 and the Gran Reserva rum is now produced in the Dominican Republic. ,Matusalem Gran Reserva 15-Year,550,6.3,Aged
Trinidad and Tobago,"Zaya Gran Reserva Rum is a blend of rums distilled from molasses in a five column still, the rums are aged in white oak barrels for a up to 12 years. Zaya rum was initially distilled by Industrias Licoreras de Guatemala in Guatemala. The brand was acquired in 2008 by Infinium Spirits and is now produced in Trinidad and distilled by Angostura. ",Zaya Gran Reserva 12-Year,562,7.2,Aged
Jamaica,"Appleton Estate 12-Year Rum is a blend of several rums aged between 12 and 18 years in American oak barrels after being distilled using small-batch copper pot stills.  The rum is produced on the Appleton Estate, which sits in the Nassau Valley in Jamaica. The estate’s origins date back as far as 1655 when the English overthrew the Spanish to rule the island and Frances Dickinson, grandfather of the distillery’s founders, received the land as a reward for his role in the overthrow.  ",Appleton Estate 12-Year,572,7.0,Aged
Puerto Rico,"Bacardi Superior Rum is the original Bacardi rum, dating back to 1862 when Don Facundo Bacardi Massó purchased his first rum distillery in Cuba. 150 years later, Bacardi Superior is now manufactured in Puerto Rico, but the recipe remains largely the same. A unique strain of yeast discovered in the Cuban sugarcane fields is used to produce Bacardi Superior rum. The rum is filtered through charcoal, a process pioneered by Bacardi, before and after it is aged in oak barrels for at least one year. ",Bacardi Superior,581,3.5,Light
Barbados,"Mount Gay Extra Old (often written ""OX"") is a blend of rums aged between 8 and 15 years in American bourbon barrels.     Mount Gay Distilleries is the oldest operating distillery in the Americas - producing rum in Barbados since 1703. It's original name was Mount Gilboa, and in 1801 renamed Mount Gay after the distillery's manager Sir John Gay Alleyne. ",Mount Gay XO Extra Old,602,7.7,Aged
Guatemala,"Ron Zacapa XO Rum is produced in the highlands of  Guatemala where it is distillled from fresh cane juice. The rum is then aged from 6 to 23 years at 7544 feet above sea level at 62 °F (17 °C) using the solera process. The solera aging process incorporates barrels that previously held American whiskeys, sherries, wines and Cognac The unique Ron Zacapa XO glass decantur features an impression of a woven band around the middle, which is in reference to the original hand woven palm leaf petate bottle cover that covered the bottle ",Ron Zacapa XO,687,8.6,Aged
Philippines,"Don Papa Small Batch Rum is produced by the Bleeding Heart Rum Company on the southern island of Negros in the Philippines. The rum is distilled from  molasses, then aged for over 7 years in American oak barrels, and lastly  charcoal filtered. The name Don Papa rum was inspired by Papa Isio, a leader of the Philippine revolution against the Spanish who led his island to independence before joining the main revolutionary movement. ",Don Papa Small Batch,708,5.6,Aged
"Virgin Islands, U.S.","Sailor Jerry’s Spiced rum is crafted from a blend of Caribbean rums that are blended and infused with spices and other flavors including vanilla and cinnamon. The rum is produced by Sailor Jerry Ltd., a company founded to honor the sailor-turned-tattoo artist, Norman “Sailor Jerry” Collins. ",Sailor Jerry Spiced,727,6.1,Spiced
Guyana,"El Dorado Special Reserve 15-Year rum is crafted from 15 to 25 year old rums that are then blended and married together in bourbon oak casks. Prior to blending the original batches are distilled using 4 unique stills - the Enmore and Diamond Coffey stills, the Port Mourant double wooden pot still, and the Versailles single wooden pot still. The bottle of El Dorado Special Reserve 15-year was inspired by the the old hand-blown flasks used by sugar planters on the banks of the Demerara river. ",El Dorado Special Reserve 15-Year,766,8.1,Aged
Cuba,Havana Club 7-Year Rum is distilled from fermented molasses and aged in charred white oak barrels for seven years.      Havana Club rum is still made in Cuba - where the company was founded by José Arechabala in 1878 and then nationalized in 1959 after the Cuban Revolution. Havana Club is now jointly owned by Pernod Ricard and the Cuban government. ,Havana Club 7-Year,803,6.4,Aged
Anguilla,Pyrat XO Rum is produced from nine different Caribbean rums that are blended and then aged up to 15 years in used American sweet oak barrels. The squat Pyrat XO rum bottle shape is inspired by the typical design of rum bottles kept by pirates and ship captains in the 19th century. ,Pyrat XO Reserve,974,6.1,Gold
Guyana,"El Dorado 12-Year Rum is composed of a blend of aged rums, all at least 12 years old.  The rums are distilled using a combination of stills including double wooden pot stills and are aged in bourbon oak casks.  Demerara Distillers of Guyana produces El Dorado 12-year rum and is the country's last remaining distillery, with origins tracing back to 1670. The name """"El Dorado"""" references the legendary city of gold that is said to be in the country's Rupununi region. ",El Dorado 12-Year,1049,7.7,Aged
Caribbean,Plantation XO 20th Anniversary rum is a combination of pot-stilled and column-stilled Barbadian rums that are initially aged in the Caribbean in ex-bourbon casks for 12-20 years. They are then transported to France for a second 12-18 months aging in small French oak casks. The first bottle of Plantation XO 20th Anniversary was created for the head of Cognac Ferrand Estate Alexandre Gabriel to honor his 20th year running the company. This special gift has resulted in the bottling we see today. ,Plantation XO 20th Anniversary,1210,8.5,Aged
Trinidad and Tobago,"Kraken Black Spiced Rum was first introduced by Proximo Spirits in 2010 . The dark rum is infused with 11 “secret” spices, caramel and other natural flavors.   The rum gets its name after the mythical sea creature 'The Kraken'. As legend has it, this terrifying creature attacked ships at sea during the 18th and 19th centuries - possibly for all the rum on board. ",Kraken Black Spiced,1335,6.1,Spiced
Guatemala,"Ron Zacapa 23 Solera Rum was created in 1976 in the highlands of Guatemala, where it is distilled from fresh cane juice before aging at 7544 feet at 62 °F (17 °C).  The 500 year-old Spanish Sistema Solera method is used to age Ron Zacapa 23 in white oak casks. This results in a combination of rums aged between 6 and 23 years.  The current Ron Zacapa 23 bottle features a woven band around the middle, which is in reference to the original hand woven palm leaf petate bottle cover that covered the bottle. ",Ron Zacapa 23 Solera,1738,7.5,Aged
"Venezuela, Bolivarian Republic of","Diplomatico Reserva Exclusiva rum is distilled from molassis in copper pot stills and then aged in small oak casks for on average 12 years before being bottled. Produced in Venezuela, which has a rich rum history dating to 1896, the Diplomatico Reserva Exclusiva distillery is located on the northern slopes of the Andes mountains. ",Diplomatico Reserva Exclusiva,2127,8.0,Aged
Dominican Republic,"Ron Quorhum 30-Year rum is distilled in pot-stills and aged using the solera system for up to 30 years. The rum is produced in the Dominican Republic by Oliver & Oliver.
 ",Quorhum 30-Year,302,9.1,Aged
Panama,"A refined and elegant rum, inspired by true character. After 12 years of aging in selected barrels, it boasts luxurious and exceptional. Its well-rounded flavours are only achieved by time and artistry. Drink it by itself, paired with dark chocolate or along with mature tobacco cigars. Character behind every sip. ",Abuelo Gran Reserva 12-Year,313,7.5,Aged
Venezuela,"Pampero Aniversario was first crafted in 1963 to commemorate the Pampero company’s 25th anniversary.  The rum is a blend of rums ranging in maturity from four to six years and aged in whisky and bourbon barrels.
 The Pampero distillery was founded by Alejandro Hernández of Venezuela in 1938.  The brand is now a division of the world’s largest liquor holding company, Diageo. ",Pampero Aniversario,314,6.9,Aged
Colombia,"Dictador bestseller. Dictador 12 Years Old is aged in American Oak ex-Bourbon barrels, then finished in Sherry casks. Your everyday companion. Beautiful in cocktails. ",Dictador 12-Year,317,6.9,Aged
Puerto Rico,"Captain Morgan Dark rum is a blend of five different rums from Jamaica, Guyana and Barbados.  The blended rum mixture is distilled in a two part process using both pot stills and continuous stills and then aged for 2 to 7 years in charred oak barrels.   Since 2011, the Captain Morgan rum brand has used the slogan """"To life, love and loot."" ",Captain Morgan Dark,319,4.2,Dark
"Virgin Islands, British","The Great British Admiralty first served rum daily to its Royal Navy sailors over 300 years ago until the ration was abolished in 1970. In 1979 Charles Tobias bought the recipe rights, formed Pusser’s Ltd. in the British Virgin Islands, and for the first time made the rum it available for public consumption.
 Pusser’s British Navy rum today is the same blend of five West Indian rums as the British Admiralty issued to sailors.   Known as the “single malt of rum” Pusser’s British Navy rum is pot stilled using a similar method as that for single malt scotches, and with no artificial flavors is 100% natural. ",Pusser's British Navy,328,6.8,Aged
Cuba,"Havana Club Añejo Especial is a blend of rums aged for up to five years produced from the fermented molasses of sugar cane harvested in Cuba. The molasses is combined with yeast and water, distilled using column stills, and aged in white oak barrels. Havana Club was founded in 1878 by Jose Arechabala and later nationalized after the Cuban Revolution in 1959. ",Havana Club Anejo Especial,330,6.0,Gold
Cuba,,Havana Club Selección de Maestros,331,7.4,Aged
Peru,"Ron Millonario Reserva Especial 15 rum is created from molasses using a 1930's Scottish column still and aged in American and Slavonian oak casks up to 15 years using the solera blending method. The Ron Millonario company was founded in 1950, and in 2004 was purchased by the Italian Fabio Rossi. ",Millonario Reserva Especial 15,344,7.8,Aged
Guyana,"El Dorado 21 is produced near the equator in Guyana by Demerara distillery. The final product is a blend of rums, aged between 21 and 25 years and crafted using 100% locally sourced Demerara sugar. Traditional tools are used in the distilling processes including three unique wooden stills. The rums rest until maturity in 45 gallon oak casks. ",El Dorado 21-Year,344,8.4,Aged
Dominican Republic,,Kirk and Sweeney 12-Year,348,7.6,Aged
Barbados,"Mount Gay Eclipse rum is produced from molasses that is double distilled and aged up to 2 years in white Kentucky oak ex bourbon barrels. Mount Gay is the oldest existing rum brand in the world, with it's oldest surviving deed being from 1703. The company developed the use of traditional double copper pot stills, a process that has been in continuous use by Mount Gay ever since its founding. The company's namesake Sir John Gay Alleyne was a good friend of  John Sober who purchased the then  Mount Gilboa distilleries in 1747. ",Mount Gay Eclipse,349,6.3,Gold
Barbados,"Mount Gay Black Barrel is a small batch, handcrafted rum recently created by master distiller Allen Smith. It is a blend of both matured double pot distillates and aged column distillates which are finished in Bourbon oak barrels. The unique blend delivers a bold and balanced flavour. ",Mount Gay Black Barrel,349,6.7,Dark
"Venezuela, Bolivarian Republic of","Diplomatico Reserva rum is distilled from molasses using both copper pot and column stills. The rum is then aged in small oak casks for between 2 and 8 years before blending and bottling. the Diplomatico distillery is located on the northern slopes of the Andes mountains in Venezuela. The area has a rich rum history dating to 1896, ",Diplomatico Reserva,356,6.6,Aged
Venezuela,,Pampero Aniversario Reserva Exclusiva,360,7.2,Aged
Puerto Rico,,Captain Morgan Original Spiced Gold,364,4.3,Spiced
Puerto Rico,"Captain Morgan Private Stock rum is produced from molasses and aged for over 2 years in ex-bourbon barrels before being blended with spices. The Captain Morgan brand was created in 1945 and named after the famous pirate and eventual governor of Jamaica Captain Henry Morgan.The rum's original home was Puerto Rico with it was distilled by Seralles, but is now St Croix. ",Captain Morgan Private Stock,366,6.8,Gold
